Date,Open,High,Low,Close,Volume
01/12/2021,1.53,1.535,1.475,1.49,
01/11/2021,1.49,1.54,1.47,1.525,
01/08/2021,1.45,1.485,1.43,1.445,
01/07/2021,1.37,1.43,1.36,1.405,
01/06/2021,1.415,1.42,1.34,1.375,
01/05/2021,1.455,1.47,1.42,1.425,
01/04/2021,1.43,1.46,1.36,1.455,
12/30/2020,1.49,1.49,1.425,1.43,
12/29/2020,1.53,1.54,1.47,1.49,
12/28/2020,1.515,1.52,1.46,1.505,
12/23/2020,1.5,1.54,1.4,1.49,
12/22/2020,1.555,1.56,1.47,1.47,
12/21/2020,1.49,1.595,1.47,1.555,
12/18/2020,1.49,1.5,1.465,1.48,
12/17/2020,1.555,1.555,1.455,1.49,
12/16/2020,1.55,1.57,1.545,1.555,
12/15/2020,1.57,1.575,1.53,1.53,
12/14/2020,1.56,1.585,1.555,1.57,
12/11/2020,1.57,1.575,1.53,1.535,
12/10/2020,1.58,1.6,1.525,1.545,
12/08/2020,1.51,1.545,1.485,1.545,
12/07/2020,1.5,1.53,1.475,1.485,
12/04/2020,1.405,1.46,1.36,1.435,
12/03/2020,1.405,1.43,1.375,1.375,
12/02/2020,1.4,1.41,1.37,1.39,
12/01/2020,1.41,1.425,1.34,1.39,
11/30/2020,1.4,1.475,1.295,1.39,
11/27/2020,1.385,1.41,1.375,1.39,
11/26/2020,1.335,1.365,1.325,1.36,
11/25/2020,1.335,1.35,1.275,1.3,
11/24/2020,1.32,1.335,1.29,1.3,
11/23/2020,1.23,1.29,1.225,1.29,
11/20/2020,1.245,1.26,1.21,1.215,
11/19/2020,1.195,1.255,1.18,1.24,
11/18/2020,1.18,1.205,1.18,1.19,
11/17/2020,1.205,1.21,1.18,1.18,
11/16/2020,1.18,1.205,1.165,1.195,
11/13/2020,1.17,1.19,1.155,1.165,
11/12/2020,1.205,1.205,1.16,1.175,
11/11/2020,1.15,1.205,1.145,1.205,
11/10/2020,1.15,1.155,1.13,1.14,
11/09/2020,1.15,1.155,1.12,1.13,
11/06/2020,1.15,1.155,1.13,1.14,
11/05/2020,1.14,1.155,1.125,1.14,
11/04/2020,1.15,1.16,1.105,1.11,
11/03/2020,1.14,1.165,1.14,1.145,
11/02/2020,1.12,1.15,1.1,1.13,
10/27/2020,1.145,1.15,1.125,1.125,
10/26/2020,1.145,1.155,1.14,1.145,
10/23/2020,1.175,1.175,1.14,1.145,
10/22/2020,1.19,1.19,1.155,1.16,
10/21/2020,1.22,1.22,1.19,1.2,
10/20/2020,1.22,1.225,1.2,1.21,
10/19/2020,1.24,1.24,1.21,1.22,
10/16/2020,1.17,1.23,1.145,1.22,
10/15/2020,1.185,1.195,1.155,1.155,
10/14/2020,1.15,1.2,1.13,1.185,
10/13/2020,1.11,1.155,1.09,1.15,
10/12/2020,1.12,1.13,1.11,1.11,
10/09/2020,1.12,1.125,1.11,1.115,
10/08/2020,1.14,1.155,1.125,1.13,
10/07/2020,1.125,1.135,1.115,1.13,
10/06/2020,1.135,1.145,1.125,1.125,
10/05/2020,1.15,1.155,1.12,1.125,
10/02/2020,1.18,1.185,1.12,1.14,
10/01/2020,1.15,1.18,1.135,1.18,
09/30/2020,1.17,1.175,1.11,1.135,
09/29/2020,1.14,1.185,1.14,1.165,
09/28/2020,1.15,1.155,1.125,1.13,
09/25/2020,1.14,1.16,1.13,1.14,
09/24/2020,1.145,1.16,1.13,1.13,
09/23/2020,1.175,1.19,1.15,1.16,
09/22/2020,1.13,1.18,1.125,1.16,
09/21/2020,1.155,1.16,1.14,1.145,
09/18/2020,1.15,1.155,1.125,1.145,
09/17/2020,1.165,1.18,1.125,1.13,
09/16/2020,1.195,1.205,1.14,1.145,
09/15/2020,1.215,1.215,1.175,1.19,
09/14/2020,1.2,1.22,1.185,1.2,
